44.25,452.75,1
138.75,496.25,1
99.75,391.25,1
174.75,205.25,1
266.25,200.75,1
368.25,172.25,1
470.25,163.25,1
609.75,173.75,1
800.25,125.75,1
642.75,74.75,1
518.25,475.25,2
720.75,374.75,2
777.75,526.25,2
488.25,613.25,2
975.75,535.25,2
956.25,323.75,2
1097.2,374.75,2
1083.8,151.25,2
957.75,707.75,2
227.25,715.25,2
45.75,61.25,3
176.25,88.25,3
365.25,44.75,3
45.75,610.25,3
174.75,607.25,3
72.75,217.25,3
354.75,587.75,3
758.25,620.75,3
686.25,211.25,3
273.75,664.25,3
1359.8,32.75,4
1332.8,119.75,4
1317.8,229.25,4
1286.2,323.75,4
1287.8,443.75,4
1272.8,523.25,4
1275.8,610.25,4
1289.2,682.25,4
1325.2,724.25,4
1341.8,202.25,4
1451.2,49.25,5
1470.8,128.75,5
1416.8,182.75,5
1461.8,325.25,5
1371.8,395.75,5
1379.2,505.25,5
1398.8,608.75,5
1461.8,451.25,5
1458.8,629.75,5
1425.8,730.25,5
